uhnPkpJvCk	9094769939	46	26	36	53	60	44.2	14
ivPMopTnBmaQVKLy	5472830626	16	27	34	6	39	24.4	20
Aiesmi	1352991690	88	8	78	23	99	59.2	5
oDApO	9944576210	44	81	29	78	75	61.4	4
GtmPBqA	7864298045	57	23	63	9	55	41.4	16
YVzMmiwxQY	8546203096	85	15	25	88	45	51.6	10
IPblxlZZNQUKVtjYLyyeWLt	0979606306	10	18	9	23	52	22.4	22
XkELRXlxgDkzKPWpj	4881420858	35	53	77	83	91	67.8	1
QYqWARQaLGROi	4366488366	71	57	61	14	0	40.6	18
iHKOhuriatwx	5095814336	86	18	72	44	36	51.2	11
mByxYJGGmP	0865455641	75	73	17	3	37	41	17
RyqLWfXOSSCHdjnCmu	6564291138	43	88	87	35	8	52.2	8
xRkpYmobrFnPUNjvFvHJNiM	6632475553	24	75	14	95	51	51.8	9
SrfaIGqlIHEwhIYcJ	4011020631	75	7	52	31	69	46.8	12
hzDoLPg	3927626549	79	63	81	48	1	54.4	7
LkUNxIaLYqCcJNNYqCqj	9838037027	46	80	85	58	63	66.4	2
YGSRGWEDxBbSvbBewE	6089543145	86	9	65	19	13	38.4	19
KEBOFJVApjR	6315499205	18	90	81	80	54	64.6	3
lNgnhkTR	5708637209	9	66	23	98	12	41.6	15
mmZXfEibNiFCEB	8958673417	18	61	76	42	31	45.6	13
xFNloKZOdYMiGe	3792659936	19	31	22	13	31	23.2	21
lvxptyHOKjkSfAWxIZxrSl	1725154655	36	45	62	70	82	59	6
